Comment,Designator,Footprint,LCSC
ATmega32U4-MU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
16MHz,Y1,Crystal_SMD_3225-4pin_3.2x2.5mm,C13738
0.1uF,"C6,C7,C8,CRGB1,CRGB10,CRGB11,CRGB12,CRGB13,CRGB14,CRGB15,CRGB16,CRGB17,CRGB18,CRGB2,CRGB3,CRGB4,CRGB5,CRGB6,CRGB7,CRGB8,CRGB9",C_0603,C14663
1uF,C2,C_0603,C15849
22pF,"C3,C4",C_0603,C1653
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
1k,"R32,R52,RC4",R_0603,C21190
SOD-123,"D1,D10,D100,D101,D108,D11,D111,D112,D113,D12,D13,D14,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D8,D81,D82,D84,D85,D86,D87,D9,D90,D91,D92,D93,D94,D95,D96,D97,D99",D_SOD-123,C2128
22,"RC1,RC2",R_0603,C22950
5k1,"RC6,RC7",R_0603,C23186
10k,RC3,R_0603,C25804
500mA,F1,Fuse_1206_3216Metric,C261952
PRTR5V0U2X,U2,SOT143B,C2827688
WS2812B,"RGB1,RGB10,RGB11,RGB12,RGB13,RGB14,RGB15,RGB16,RGB17,RGB18,RGB2,RGB3,RGB4,RGB5,RGB6,RGB7,RGB8,RGB9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
SW_Push,SW1,SKQG-1155865,C318884
10uF,C5,C_0603,C96446
